Month,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason,Metadata 1
1997-12,Arrivals,Buenos Aires,13,number,Number of flights,
1997-12,Arrivals,Hong Kong,37,number,Number of flights,
1997-12,Arrivals,Honolulu,52,number,Number of flights,
1997-12,Arrivals,Osaka,31,number,Number of flights,
1997-12,Arrivals,Kuala Lumpur,14,number,Number of flights,
1997-12,Arrivals,Los Angeles,144,number,Number of flights,
1997-12,Arrivals,London,28,number,Number of flights,
1997-12,Arrivals,Melbourne,179,number,Number of flights,
1997-12,Arrivals,Nadi,111,number,Number of flights,
1997-12,Arrivals,Nagoya,14,number,Number of flights,
1997-12,Arrivals,Noumea,12,number,Number of flights,
1997-12,Arrivals,Tokyo,23,number,Number of flights,
1997-12,Arrivals,Coolangatta,9,number,Number of flights,
1997-12,Arrivals,Perth,12,number,Number of flights,
1997-12,Arrivals,Papeete,22,number,Number of flights,
1997-12,Arrivals,Rarotonga,13,number,Number of flights,
1997-12,Arrivals,Santiago,0,number,Number of flights,
1997-12,Arrivals,Seoul,64,number,Number of flights,
1997-12,Arrivals,San Francisco,0,number,Number of flights,
1997-12,Arrivals,Shanghai,0,number,Number of flights,
1997-12,Arrivals,Singapore,86,number,Number of flights,
1997-12,Arrivals,Sydney,420,number,Number of flights,
1997-12,Arrivals,Tonga,28,number,Number of flights,
1997-12,Arrivals,Taipei,39,number,Number of flights,
1997-12,Arrivals,Port Vila,4,number,Number of flights,
1997-12,Arrivals,Vancouver,9,number,Number of flights,
1997-12,Arrivals,Total,1513,number,Number of flights,
1997-12,Departures,Adelaide,0,number,Number of flights,
1997-12,Departures,Apia,56,number,Number of flights,
1997-12,Departures,Beijing,0,number,Number of flights,
1997-12,Departures,Bangkok,15,number,Number of flights,
1997-12,Departures,Brisbane,234,number,Number of flights,
1997-12,Departures,Bandar Seri Begawan,0,number,Number of flights,
1997-12,Departures,Guangzhou,0,number,Number of flights,
1997-12,Departures,Cairns,15,number,Number of flights,
1997-12,Departures,Denpasar,14,number,Number of flights,
1997-12,Departures,Dubai,0,number,Number of flights,
1997-12,Departures,Buenos Aires,13,number,Number of flights,
1997-12,Departures,Hong Kong,44,number,Number of flights,
1997-12,Departures,Honolulu,41,number,Number of flights,
1997-12,Departures,Osaka,29,number,Number of flights,
1997-12,Departures,Kuala Lumpur,15,number,Number of flights,
1997-12,Departures,Los Angeles,151,number,Number of flights,
1997-12,Departures,London,29,number,Number of flights,
1997-12,Departures,Melbourne,166,number,Number of flights,
1997-12,Departures,Nadi,118,number,Number of flights,
1997-12,Departures,Nagoya,17,number,Number of flights,
1997-12,Departures,Noumea,14,number,Number of flights,
1997-12,Departures,Tokyo,32,number,Number of flights,
1997-12,Departures,Coolangatta,9,number,Number of flights,
1997-12,Departures,Perth,15,number,Number of flights,
1997-12,Departures,Papeete,24,number,Number of flights,
1997-12,Departures,Rarotonga,19,number,Number of flights,
1997-12,Departures,Santiago,4,number,Number of flights,
1997-12,Departures,Seoul,65,number,Number of flights,
1997-12,Departures,San Francisco,0,number,Number of flights,
1997-12,Departures,Shanghai,0,number,Number of flights,
1997-12,Departures,Singapore,81,number,Number of flights,
1997-12,Departures,Sydney,425,number,Number of flights,
1997-12,Departures,Tonga,30,number,Number of flights,
1997-12,Departures,Taipei,41,number,Number of flights,
1997-12,Departures,Port Vila,4,number,Number of flights,
1997-12,Departures,Vancouver,10,number,Number of flights,
1997-12,Departures,Total,1561,number,Number of flights,
1997-12,Total,Adelaide,0,number,Number of flights,
1997-12,Total,Apia,108,number,Number of flights,
1997-12,Total,Beijing,0,number,Number of flights,
1997-12,Total,Bangkok,28,number,Number of flights,
1997-12,Total,Brisbane,441,number,Number of flights,
1997-12,Total,Bandar Seri Begawan,0,number,Number of flights,
1997-12,Total,Guangzhou,0,number,Number of flights,
1997-12,Total,Cairns,29,number,Number of flights,
1997-12,Total,Denpasar,28,number,Number of flights,
